,departamento,ID,lat,lon,in_departamentos,empleo,clae2,clae2_desc,empleo_rep
97636,Brandsen,65565656P0P6P00G2G4747471830119,-35.17,-58.23,6119,b. 10-49,86,Servicios de salud humana,25
97656,Campana,607676762MM1MG167M2020204417126,-34.17,-58.96,6126,b. 10-49,86,Servicios de salud humana,25
97662,Campana,642525252MM2G08PM72020207366126,-34.16,-58.96,6126,c. 50-199,86,Servicios de salud humana,125
97664,Campana,642929292MM1MG16752020208062126,-34.2,-58.96,6126,b. 10-49,86,Servicios de salud humana,25
97667,Campana,648484842MM1MG167G2020207010126,-34.17,-58.97,6126,c. 50-199,86,Servicios de salud humana,125
97670,Campana,6541414166081080GP0M1414148966126,-34.16,-58.96,6126,c. 50-199,86,Servicios de salud humana,125
97671,Campana,654949492GP67MP1G61313134086126,-34.16,-58.98,6126,b. 10-49,86,Servicios de salud humana,25
97683,Campana,68818181P0087G86GG2424244007126,-34.16,-58.96,6126,b. 10-49,86,Servicios de salud humana,25
99711,Comuna 1,20090909120PM8M67G8484841292007,-34.61,-58.382,2007,c. 50-199,86,Servicios de salud humana,125
99721,Comuna 1,20363636P0027PP72G4646466854007,-34.609,-58.374,2007,b. 10-49,86,Servicios de salud humana,25
99723,Comuna 1,2056565617G5MM5M751010104540007,-34.614,-58.386,2007,c. 50-199,86,Servicios de salud humana,125
99725,Comuna 1,2061616166081080G2MM1414144876007,-34.604,-58.374,2007,b. 10-49,86,Servicios de salud humana,25
99727,Comuna 1,2064646427PP87MM6P1616162007,-34.626,-58.374,2007,c. 50-199,86,Servicios de salud humana,125
99731,Comuna 1,2096969620PP0665551111116117007,-34.599,-58.386,2007,b. 10-49,86,Servicios de salud humana,25
99732,Comuna 1,210000002MM710P66G2121217054007,-34.604,-58.386,2007,b. 10-49,86,Servicios de salud humana,25
99734,Comuna 1,21000000P0002525P72222229976007,-34.598,-58.376,2007,c. 50-199,86,Servicios de salud humana,125
99740,Comuna 1,21010101P070M801254848481649007,-34.61,-58.388,2007,b. 10-49,86,Servicios de salud humana,25
99747,Comuna 1,2116161627P721MPMG161616849007,-34.6,-58.384,2007,b. 10-49,86,Servicios de salud humana,25
99752,Comuna 1,21212121P00600702M2323234255007,-34.607,-58.389,2007,b. 10-49,86,Servicios de salud humana,25
99762,Comuna 1,21363636P0P2M0GM2G4747472899007,-34.619,-58.391,2007,b. 10-49,86,Servicios de salud humana,25
99763,Comuna 1,214141411510GM6G2G4444449717007,-34.614,-58.391,2007,e. 500+,86,Servicios de salud humana,500
99767,Comuna 1,214444442M60156GGG1818185060007,-34.604,-58.39,2007,b. 10-49,86,Servicios de salud humana,25
99769,Comuna 1,214949492M887712M51919199332007,-34.599,-58.383,2007,b. 10-49,86,Servicios de salud humana,25
99777,Comuna 1,2164646477P68G5087M3333336994007,-34.617,-58.375,2007,b. 10-49,86,Servicios de salud humana,25
99780,Comuna 1,21767676282GM71PGP1717178647007,-34.595,-58.382,2007,c. 50-199,86,Servicios de salud humana,125
99782,Comuna 1,21767676P010P885152424244850007,-34.6,-58.364,2007,c. 50-199,86,Servicios de salud humana,125
99785,Comuna 1,2189898926M8M152G51515155883007,-34.606,-58.362,2007,b. 10-49,86,Servicios de salud humana,25
99786,Comuna 1,2189898976MMG15M57G2727275072007,-34.594,-58.381,2007,b. 10-49,86,Servicios de salud humana,25
99789,Comuna 1,220000002828G22G1G1717175742007,-34.606,-58.371,2007,e. 500+,86,Servicios de salud humana,500
99790,Comuna 1,220000002G8G10G02G4545456132007,-34.604,-58.381,2007,c. 50-199,86,Servicios de salud humana,125
99801,Comuna 1,22090909P0182P1G552626262108007,-34.614,-58.373,2007,b. 10-49,86,Servicios de salud humana,25
99809,Comuna 1,2225252522078P7M254545452524007,-34.591,-58.386,2007,b. 10-49,86,Servicios de salud humana,25
99812,Comuna 1,222929292MMG25G18G202020951007,-34.607,-58.378,2007,b. 10-49,86,Servicios de salud humana,25
99814,Comuna 1,224444441P72G0721G9393939314007,-34.612,-58.373,2007,d. 200-499,86,Servicios de salud humana,350
99826,Comuna 1,22696969P0P516P6PG3030304745007,-34.6,-58.378,2007,c. 50-199,86,Servicios de salud humana,125
99834,Comuna 1,22969696287628M2P61717175501007,-34.595,-58.382,2007,c. 50-199,86,Servicios de salud humana,125
99836,Comuna 1,22969696767M11GM2GG2222223920007,-34.613,-58.384,2007,b. 10-49,86,Servicios de salud humana,25
99839,Comuna 1,23000000687M0582161P01616162612007,-34.595,-58.379,2007,c. 50-199,86,Servicios de salud humana,125
99843,Comuna 1,23000000P05PG5M18G323232820007,-34.604,-58.377,2007,b. 10-49,86,Servicios de salud humana,25
99849,Comuna 1,230909092M8MM571751919194747007,-34.593,-58.374,2007,b. 10-49,86,Servicios de salud humana,25
99850,Comuna 1,23161616120PM8M67P8484843773007,-34.61,-58.382,2007,b. 10-49,86,Servicios de salud humana,25
99859,Comuna 1,232424242MMG8G57254646461483007,-34.606,-58.381,2007,b. 10-49,86,Servicios de salud humana,25
99861,Comuna 1,23242424767M11GM2G12222221791007,-34.598,-58.376,2007,d. 200-499,86,Servicios de salud humana,350
99862,Comuna 1,23242424P010200G254646463145007,-34.614,-58.391,2007,b. 10-49,86,Servicios de salud humana,25
99876,Comuna 1,235656567081P51M766750202020284007,-34.606,-58.378,2007,b. 10-49,86,Servicios de salud humana,25
99881,Comuna 1,23696969P0021P08252222229959007,-34.606,-58.386,2007,b. 10-49,86,Servicios de salud humana,25
99883,Comuna 1,238181812PP8016MMG131313793007,-34.603,-58.39,2007,c. 50-199,86,Servicios de salud humana,125
99894,Comuna 1,24000000P00GPG0225232323673007,-34.609,-58.386,2007,b. 10-49,86,Servicios de salud humana,25
99896,Comuna 1,24000000P065101P5G3636367173007,-34.609,-58.391,2007,b. 10-49,86,Servicios de salud humana,25
99904,Comuna 1,24242424228271M67G1313133342007,-34.612,-58.369,2007,b. 10-49,86,Servicios de salud humana,25
99910,Comuna 1,242525252MM708855G2121211503007,-34.602,-58.384,2007,b. 10-49,86,Servicios de salud humana,25
99911,Comuna 1,2425252571P6678GG22M191919772007,-34.625,-58.364,2007,b. 10-49,86,Servicios de salud humana,25
99914,Comuna 1,24252525P02G580M852828283998007,-34.607,-58.376,2007,c. 50-199,86,Servicios de salud humana,125
99918,Comuna 1,2429292977P68G508603333331687007,-34.6,-58.373,2007,b. 10-49,86,Servicios de salud humana,25
99922,Comuna 1,24414141162280762G1010109643007,-34.606,-58.391,2007,c. 50-199,86,Servicios de salud humana,125
99923,Comuna 1,24414141P0026M51M62222225456007,-34.595,-58.382,2007,b. 10-49,86,Servicios de salud humana,25
99925,Comuna 1,24444444P021G2216G2727274740007,-34.61,-58.373,2007,b. 10-49,86,Servicios de salud humana,25
99929,Comuna 1,24494949P06M861G2G3737374189007,-34.624,-58.364,2007,b. 10-49,86,Servicios de salud humana,25
99931,Comuna 1,2456565666081080G2621414143174007,-34.604,-58.374,2007,e. 500+,86,Servicios de salud humana,500
99938,Comuna 1,2464646425G60858MG141414753007,-34.605,-58.371,2007,b. 10-49,86,Servicios de salud humana,25
99939,Comuna 1,246464642M887712M61919199870007,-34.599,-58.383,2007,b. 10-49,86,Servicios de salud humana,25
99940,Comuna 1,24696969222M06MMM51212125273007,-34.615,-58.384,2007,b. 10-49,86,Servicios de salud humana,25
99942,Comuna 1,247676762MM2M800M5202020424007,-34.603,-58.376,2007,b. 10-49,86,Servicios de salud humana,25
99945,Comuna 1,24767676P075G0552G4848487266007,-34.608,-58.378,2007,b. 10-49,86,Servicios de salud humana,25
99948,Comuna 1,2481818161672606822P1111119271007,-34.611,-58.377,2007,b. 10-49,86,Servicios de salud humana,25
99949,Comuna 1,24818181772212012G13131319827007,-34.6,-58.392,2007,b. 10-49,86,Servicios de salud humana,25
99951,Comuna 1,248484842M8PMM227G1919199481007,-34.605,-58.377,2007,c. 50-199,86,Servicios de salud humana,125
99954,Comuna 1,2489898928GGGPM7M51717171294007,-34.603,-58.373,2007,b. 10-49,86,Servicios de salud humana,25
99955,Comuna 1,248989895M0G57182855PG1010104509007,-34.605,-58.377,2007,b. 10-49,86,Servicios de salud humana,25
99959,Comuna 1,24969696287G56MM2G4545456719007,-34.605,-58.378,2007,e. 500+,86,Servicios de salud humana,500
99961,Comuna 1,24969696P02G580M8G2828286071007,-34.603,-58.373,2007,b. 10-49,86,Servicios de salud humana,25
99962,Comuna 1,25000000118881171G8383835862007,-34.595,-58.384,2007,b. 10-49,86,Servicios de salud humana,25
99967,Comuna 1,25000000P02GP5025G2828284006007,-34.603,-58.39,2007,b. 10-49,86,Servicios de salud humana,25
99969,Comuna 1,25000000P0PP282P25474747737007,-34.604,-58.38,2007,b. 10-49,86,Servicios de salud humana,25
99975,Comuna 1,250404042M885GG6PG1919194799007,-34.603,-58.386,2007,b. 10-49,86,Servicios de salud humana,25
99980,Comuna 1,251616162M2P08M0851818182086007,-34.606,-58.381,2007,b. 10-49,86,Servicios de salud humana,25
99987,Comuna 1,25252525282G6GP0M51717178846007,-34.598,-58.374,2007,b. 10-49,86,Servicios de salud humana,25
99991,Comuna 1,25252525P0287P6MM62929299070007,-34.596,-58.374,2007,b. 10-49,86,Servicios de salud humana,25
99996,Comuna 1,2541414171PM71252MMG2020208011007,-34.609,-58.392,2007,b. 10-49,86,Servicios de salud humana,25
99997,Comuna 1,25414141P0618MP06G3535357589007,-34.618,-58.392,2007,b. 10-49,86,Servicios de salud humana,25
100001,Comuna 1,2544444471G022180681414149650007,-34.59,-58.38,2007,b. 10-49,86,Servicios de salud humana,25
100004,Comuna 1,25494949P0002525G0222222662007,-34.629,-58.386,2007,c. 50-199,86,Servicios de salud humana,125
100006,Comuna 1,25565656P065G1662G4848484728007,-34.602,-58.376,2007,b. 10-49,86,Servicios de salud humana,25
100007,Comuna 1,25565656P06P5PP01M3535353460007,-34.613,-58.382,2007,b. 10-49,86,Servicios de salud humana,25
100008,Comuna 1,25616161P0026M51M82222228039007,-34.595,-58.382,2007,b. 10-49,86,Servicios de salud humana,25
100013,Comuna 1,25696969P02GG7576G2828287503007,-34.598,-58.376,2007,b. 10-49,86,Servicios de salud humana,25
100015,Comuna 1,257676762M8G7P88GG1919195439007,-34.599,-58.376,2007,b. 10-49,86,Servicios de salud humana,25
100017,Comuna 1,25818181P0002525P82222224071007,-34.627,-58.377,2007,b. 10-49,86,Servicios de salud humana,25
100018,Comuna 1,2584848421055M516P1212127772007,-34.596,-58.387,2007,b. 10-49,86,Servicios de salud humana,25
100019,Comuna 1,25969696P001P28M2G2222223550007,-34.609,-58.392,2007,b. 10-49,86,Servicios de salud humana,25
100022,Comuna 1,25969696P07128PGPG3838389564007,-34.605,-58.378,2007,b. 10-49,86,Servicios de salud humana,25
100023,Comuna 1,2600000016P0015G8G1010106810007,-34.6,-58.386,2007,b. 10-49,86,Servicios de salud humana,25
100025,Comuna 1,26000000P00M1MMGMG2424247511007,-34.61,-58.382,2007,b. 10-49,86,Servicios de salud humana,25
100029,Comuna 1,26040404P01GG05P8G2525253231007,-34.601,-58.39,2007,c. 50-199,86,Servicios de salud humana,125
100044,Comuna 1,262929292MM08MG20G2020206901007,-34.609,-58.383,2007,c. 50-199,86,Servicios de salud humana,125
100049,Comuna 1,26444444P01P75152G4646465781007,-34.63,-58.384,2007,b. 10-49,86,Servicios de salud humana,25
100058,Comuna 1,2664646417P261M81G101010236007,-34.604,-58.385,2007,b. 10-49,86,Servicios de salud humana,25
100065,Comuna 1,26818181P00MPP26P52424246906007,-34.609,-58.391,2007,c. 50-199,86,Servicios de salud humana,125
100079,Comuna 1,270000002MMM8505752222222760007,-34.605,-58.377,2007,b. 10-49,86,Servicios de salud humana,25
100085,Comuna 1,2709090966081080G27G1414149278007,-34.612,-58.37,2007,c. 50-199,86,Servicios de salud humana,125
100089,Comuna 1,271616167671MM82GPP2020206818007,-34.612,-58.377,2007,b. 10-49,86,Servicios de salud humana,25
100093,Comuna 1,27242424278570MP1G1616162941007,-34.608,-58.378,2007,b. 10-49,86,Servicios de salud humana,25
100094,Comuna 1,272424245M0M8M2M6616G1010101564007,-34.605,-58.378,2007,d. 200-499,86,Servicios de salud humana,350
100102,Comuna 1,274141412M8PMM22811919197059007,-34.602,-58.374,2007,c. 50-199,86,Servicios de salud humana,125
100105,Comuna 1,2744444466855PM6GG1010108587007,-34.599,-58.378,2007,b. 10-49,86,Servicios de salud humana,25
100106,Comuna 1,274949492MM2PM8GMP2020201773007,-34.61,-58.373,2007,c. 50-199,86,Servicios de salud humana,125
100110,Comuna 1,276464642M86661GG51919195364007,-34.605,-58.38,2007,b. 10-49,86,Servicios de salud humana,25
100118,Comuna 1,27848484P0618MP0653535355705007,-34.602,-58.388,2007,b. 10-49,86,Servicios de salud humana,25
100119,Comuna 1,278989891G8551M5MG9999998600007,-34.6,-58.386,2007,b. 10-49,86,Servicios de salud humana,25
100120,Comuna 1,2796969620P1M5P51G1111114906007,-34.614,-58.391,2007,b. 10-49,86,Servicios de salud humana,25
100130,Comuna 1,281616162GG6727M7G1313137908007,-34.616,-58.387,2007,b. 10-49,86,Servicios de salud humana,25
100131,Comuna 1,28161616P00GPG022M2323231910007,-34.608,-58.384,2007,b. 10-49,86,Servicios de salud humana,25
100135,Comuna 1,282424247088GG80M65672020209262007,-34.631,-58.386,2007,b. 10-49,86,Servicios de salud humana,25
100140,Comuna 1,28363636P07PPP8GGG3939391034007,-34.605,-58.377,2007,b. 10-49,86,Servicios de salud humana,25
100141,Comuna 1,28363636P0P8087P1G3131314206007,-34.606,-58.374,2007,b. 10-49,86,Servicios de salud humana,25
100143,Comuna 1,284444442M8GM556264646467106007,-34.603,-58.391,2007,d. 200-499,86,Servicios de salud humana,350
100144,Comuna 1,284444442MMPM2807G2020205790007,-34.593,-58.376,2007,d. 200-499,86,Servicios de salud humana,350
100145,Comuna 1,28565656127P52575G8787879479007,-34.603,-58.388,2007,c. 50-199,86,Servicios de salud humana,125
100148,Comuna 1,2861616171G022180861414146505007,-34.605,-58.371,2007,e. 500+,86,Servicios de salud humana,500
100150,Comuna 1,28646464P06G70721G3636369741007,-34.596,-58.38,2007,b. 10-49,86,Servicios de salud humana,25
100153,Comuna 1,287676762M8G7P88G61919198871007,-34.599,-58.376,2007,b. 10-49,86,Servicios de salud humana,25
100154,Comuna 1,287676762MM8M2P025222222217007,-34.607,-58.377,2007,b. 10-49,86,Servicios de salud humana,25
100156,Comuna 1,288181812G61P5MG171414146133007,-34.598,-58.375,2007,c. 50-199,86,Servicios de salud humana,125
100157,Comuna 1,288181812M8M026G651919191940007,-34.611,-58.379,2007,b. 10-49,86,Servicios de salud humana,25
100164,Comuna 1,29000000P01P5P586G2525254238007,-34.606,-58.388,2007,b. 10-49,86,Servicios de salud humana,25
100185,Comuna 1,29848484P0026M51M5222222522007,-34.594,-58.382,2007,b. 10-49,86,Servicios de salud humana,25
100186,Comuna 1,298989892M8MM085MG1919192940007,-34.607,-58.381,2007,b. 10-49,86,Servicios de salud humana,25
100187,Comuna 1,29969696766558057PG1919193404007,-34.599,-58.379,2007,c. 50-199,86,Servicios de salud humana,125
100189,Comuna 10,21090909P0680PM12G3737378279070,-34.633,-58.479,2070,b. 10-49,86,Servicios de salud humana,25
100190,Comuna 10,214141416M7PG0P22G40404034070,-34.64,-58.486,2070,b. 10-49,86,Servicios de salud humana,25
100202,Comuna 10,2524242427G72076254545454297070,-34.61,-58.501,2070,b. 10-49,86,Servicios de salud humana,25
100204,Comuna 10,25565656267606M8101515159153070,-34.617,-58.504,2070,b. 10-49,86,Servicios de salud humana,25
100205,Comuna 10,25616161P05715885G3333339768070,-34.639,-58.501,2070,b. 10-49,86,Servicios de salud humana,25
100208,Comuna 10,26212121P0002525P62222222846070,-34.634,-58.525,2070,c. 50-199,86,Servicios de salud humana,125
100212,Comuna 10,2736363677P68G508813333339312070,-34.618,-58.502,2070,b. 10-49,86,Servicios de salud humana,25
100213,Comuna 10,276161612MM5MGG06G2121215535070,-34.64,-58.487,2070,b. 10-49,86,Servicios de salud humana,25
100218,Comuna 10,28969696P05616MP063333339508070,-34.615,-58.528,2070,b. 10-49,86,Servicios de salud humana,25
100219,Comuna 10,29000000P00088M82G2222229998070,-34.632,-58.522,2070,b. 10-49,86,Servicios de salud humana,25
100221,Comuna 10,29252525278500852G1616165340070,-34.636,-58.472,2070,c. 50-199,86,Servicios de salud humana,125
100223,Comuna 11,200000007P5GMP21MPG1515159658077,-34.603,-58.493,2077,b. 10-49,86,Servicios de salud humana,25
100225,Comuna 11,2009090928M276856G1818187664077,-34.598,-58.492,2077,b. 10-49,86,Servicios de salud humana,25
100234,Comuna 11,212929292MM56M8PMG2121216415077,-34.613,-58.464,2077,b. 10-49,86,Servicios de salud humana,25
100246,Comuna 11,22242424P070GM551G383838349077,-34.618,-58.47,2077,b. 10-49,86,Servicios de salud humana,25
100260,Comuna 11,2349494966081080G2711414145190077,-34.605,-58.468,2077,c. 50-199,86,Servicios de salud humana,125
100261,Comuna 11,236464642672P5G62G1515155268077,-34.608,-58.516,2077,b. 10-49,86,Servicios de salud humana,25
100264,Comuna 11,23848484P02P12225G272727121077,-34.62,-58.474,2077,c. 50-199,86,Servicios de salud humana,125
100275,Comuna 11,2461616127G7207626454545171077,-34.613,-58.464,2077,b. 10-49,86,Servicios de salud humana,25
100287,Comuna 11,262424242M8P5752GG1818187735077,-34.608,-58.481,2077,c. 50-199,86,Servicios de salud humana,125
100301,Comuna 11,28090909P01561G10G2525252835077,-34.615,-58.466,2077,b. 10-49,86,Servicios de salud humana,25
100310,Comuna 12,20252525P01M616G5G2626269685084,-34.549,-58.48,2084,b. 10-49,86,Servicios de salud humana,25
100311,Comuna 12,20292929P07278728G3939391132084,-34.554,-58.494,2084,b. 10-49,86,Servicios de salud humana,25
100320,Comuna 12,2149494962P8MMPM577071212123826084,-34.574,-58.489,2084,b. 10-49,86,Servicios de salud humana,25
100327,Comuna 12,22252525267606M8111515158453084,-34.579,-58.479,2084,b. 10-49,86,Servicios de salud humana,25
100329,Comuna 12,22494949180MGG02MG1010105359084,-34.542,-58.478,2084,d. 200-499,86,Servicios de salud humana,350
100333,Comuna 12,230000002825M517161717173212084,-34.564,-58.474,2084,b. 10-49,86,Servicios de salud humana,25
100335,Comuna 12,23252525P007M87GMG2424246003084,-34.559,-58.477,2084,b. 10-49,86,Servicios de salud humana,25
100340,Comuna 12,244444442MM7102M162121216229084,-34.575,-58.484,2084,b. 10-49,86,Servicios de salud humana,25
100347,Comuna 12,25010101675610252G282828780084,-34.562,-58.469,2084,b. 10-49,86,Servicios de salud humana,25
100352,Comuna 12,254949492888PM6G1G181818128084,-34.572,-58.482,2084,d. 200-499,86,Servicios de salud humana,350
100355,Comuna 12,26161616P0P68G780G3131311448084,-34.544,-58.473,2084,b. 10-49,86,Servicios de salud humana,25
100364,Comuna 12,280909091M007825151111115313084,-34.575,-58.484,2084,b. 10-49,86,Servicios de salud humana,25
100365,Comuna 12,28090909268M1M5G1G1515159682084,-34.559,-58.483,2084,b. 10-49,86,Servicios de salud humana,25
100366,Comuna 12,28090909657M065527G1111111875084,-34.557,-58.495,2084,b. 10-49,86,Servicios de salud humana,25
100370,Comuna 12,2861616177002508653030309887084,-34.577,-58.476,2084,b. 10-49,86,Servicios de salud humana,25
100380,Comuna 13,200000002MM25PP2562020201504091,-34.571,-58.45,2091,c. 50-199,86,Servicios de salud humana,125
100383,Comuna 13,200404041107M212GP7979793985091,-34.552,-58.464,2091,b. 10-49,86,Servicios de salud humana,25
100384,Comuna 13,20040404P01GPGPGPG2525253071091,-34.561,-58.458,2091,b. 10-49,86,Servicios de salud humana,25
100389,Comuna 13,20252525P0GP5558253131315989091,-34.569,-58.45,2091,e. 500+,86,Servicios de salud humana,500
100391,Comuna 13,20494949P0P1M8525G3030305303091,-34.568,-58.456,2091,b. 10-49,86,Servicios de salud humana,25
100392,Comuna 13,20646464282M18810G1717174817091,-34.558,-58.443,2091,b. 10-49,86,Servicios de salud humana,25
100395,Comuna 13,208181812785520M6G1616162691091,-34.549,-58.456,2091,c. 50-199,86,Servicios de salud humana,125
100399,Comuna 13,2100000018176GG8281010102706091,-34.546,-58.467,2091,b. 10-49,86,Servicios de salud humana,25
100420,Comuna 13,214444446288PM58865521212128629091,-34.551,-58.469,2091,c. 50-199,86,Servicios de salud humana,125
100434,Comuna 13,21818181P02G0105052828289183091,-34.552,-58.454,2091,b. 10-49,86,Servicios de salud humana,25
100439,Comuna 13,220000001M0078251M1111119262091,-34.581,-58.449,2091,b. 10-49,86,Servicios de salud humana,25
100448,Comuna 13,222121212MM5M581P52121211110091,-34.576,-58.451,2091,b. 10-49,86,Servicios de salud humana,25
100451,Comuna 13,22292929P070G6PG7G383838649091,-34.536,-58.468,2091,b. 10-49,86,Servicios de salud humana,25
100479,Comuna 13,23292929P0701MP58G3838386658091,-34.553,-58.454,2091,b. 10-49,86,Servicios de salud humana,25
100481,Comuna 13,23565656P0P102G0GG2929291383091,-34.56,-58.454,2091,b. 10-49,86,Servicios de salud humana,25
100489,Comuna 13,2400000020PP80P87G1111116751091,-34.551,-58.47,2091,d. 200-499,86,Servicios de salud humana,350
100491,Comuna 13,2400000077P68G50876333333535091,-34.537,-58.46,2091,b. 10-49,86,Servicios de salud humana,25
100493,Comuna 13,24010101657M06552701111111341091,-34.554,-58.45,2091,c. 50-199,86,Servicios de salud humana,125
100496,Comuna 13,240909091107M212GG7979792570091,-34.552,-58.464,2091,d. 200-499,86,Servicios de salud humana,350
100497,Comuna 13,24090909657M065526G1111119091091,-34.554,-58.451,2091,e. 500+,86,Servicios de salud humana,500
100499,Comuna 13,241616161M0078251G1111112036091,-34.578,-58.45,2091,b. 10-49,86,Servicios de salud humana,25
100500,Comuna 13,24212121687P7P708667501616166810091,-34.549,-58.455,2091,b. 10-49,86,Servicios de salud humana,25
100508,Comuna 13,243636362508220G2G1414146852091,-34.58,-58.451,2091,b. 10-49,86,Servicios de salud humana,25
100524,Comuna 13,2524242470P7G102275681818187096091,-34.56,-58.461,2091,b. 10-49,86,Servicios de salud humana,25
100527,Comuna 13,25363636P0PGGM1GPG303030951091,-34.563,-58.461,2091,b. 10-49,86,Servicios de salud humana,25
100530,Comuna 13,256161612MM85056762121216039091,-34.578,-58.45,2091,b. 10-49,86,Servicios de salud humana,25
100539,Comuna 13,25818181P0GM6857P53232327262091,-34.571,-58.458,2091,b. 10-49,86,Servicios de salud humana,25
100548,Comuna 13,261616162P661875251313137905091,-34.572,-58.452,2091,e. 500+,86,Servicios de salud humana,500
100556,Comuna 13,26444444P066P2PG853636362583091,-34.539,-58.466,2091,c. 50-199,86,Servicios de salud humana,125
100568,Comuna 13,270000002G61P5MG211414144725091,-34.563,-58.453,2091,b. 10-49,86,Servicios de salud humana,25
100571,Comuna 13,27000000706051G50G4141414265091,-34.559,-58.452,2091,b. 10-49,86,Servicios de salud humana,25
100575,Comuna 13,27000000P020M8085G2727279743091,-34.568,-58.449,2091,b. 10-49,86,Servicios de salud humana,25
100579,Comuna 13,27242424P01885MM1G2626263331091,-34.567,-58.452,2091,b. 10-49,86,Servicios de salud humana,25
100580,Comuna 13,272525252M87P2271G1919196543091,-34.567,-58.451,2091,b. 10-49,86,Servicios de salud humana,25
100583,Comuna 13,27767676268M7M280G1515157200091,-34.562,-58.446,2091,d. 200-499,86,Servicios de salud humana,350
100593,Comuna 13,28010101P01G6872862525257496091,-34.543,-58.472,2091,b. 10-49,86,Servicios de salud humana,25
100595,Comuna 13,28040404657M065527P1111115065091,-34.555,-58.452,2091,b. 10-49,86,Servicios de salud humana,25
100604,Comuna 13,28414141P01M8020702626265476091,-34.56,-58.445,2091,b. 10-49,86,Servicios de salud humana,25
100618,Comuna 13,29040404P0P22PGP254747473643091,-34.557,-58.467,2091,c. 50-199,86,Servicios de salud humana,125
100627,Comuna 13,298484842MM6G6015G2121217104091,-34.567,-58.46,2091,b. 10-49,86,Servicios de salud humana,25
100635,Comuna 14,20292929P0212P82012727273205098,-34.585,-58.444,2098,b. 10-49,86,Servicios de salud humana,25
100647,Comuna 14,2101010126870606551515156013098,-34.586,-58.417,2098,b. 10-49,86,Servicios de salud humana,25
100657,Comuna 14,214444442MMP27505G2020206986098,-34.584,-58.42,2098,b. 10-49,86,Servicios de salud humana,25
100665,Comuna 14,218181812G7P2276PG1414146042098,-34.57,-58.436,2098,b. 10-49,86,Servicios de salud humana,25
100667,Comuna 14,2189898917G755M2M61010104966098,-34.585,-58.43,2098,b. 10-49,86,Servicios de salud humana,25
100668,Comuna 14,2196969666081080G2MP1414146340098,-34.568,-58.449,2098,e. 500+,86,Servicios de salud humana,500
100671,Comuna 14,2200000066081080G2GM1414147797098,-34.596,-58.426,2098,b. 10-49,86,Servicios de salud humana,25
100680,Comuna 14,22414141201GG057MG1111118971098,-34.576,-58.42,2098,b. 10-49,86,Servicios de salud humana,25
100683,Comuna 14,22414141P072P8672G3838386326098,-34.575,-58.439,2098,b. 10-49,86,Servicios de salud humana,25
